Age,Male,Female,NHWM,NHBM,NHWF,NHBF,HM,HF,Male_SE,Female_SE,NHWM_SE,NHBM_SE,NHWF_SE,NHBF_SE,HM_SE,HF_SE
72,0.021480775,0.015357747,0.021699561,0.028985818,0.015834344,0.018495462,0.015666145,0.010244742,1.77E-05,1.36E-05,1.98E-05,7.20E-05,1.56E-05,4.81E-05,5.74E-05,4.08E-05
73,0.021480775,0.015357747,0.021699561,0.028985818,0.015834344,0.018495462,0.015666145,0.010244742,1.77E-05,1.36E-05,1.98E-05,7.20E-05,1.56E-05,4.81E-05,5.74E-05,4.08E-05
74,0.021480775,0.015357747,0.021699561,0.028985818,0.015834344,0.018495462,0.015666145,0.010244742,1.77E-05,1.36E-05,1.98E-05,7.20E-05,1.56E-05,4.81E-05,5.74E-05,4.08E-05
75,0.033422601,0.024217904,0.033986074,0.041704812,0.025001428,0.027189425,0.024546063,0.016771829,2.55E-05,1.89E-05,2.84E-05,0.000105032,2.14E-05,6.68E-05,8.64E-05,6.04E-05
76,0.033422601,0.024217904,0.033986074,0.041704812,0.025001428,0.027189425,0.024546063,0.016771829,2.55E-05,1.89E-05,2.84E-05,0.000105032,2.14E-05,6.68E-05,8.64E-05,6.04E-05
77,0.033422601,0.024217904,0.033986074,0.041704812,0.025001428,0.027189425,0.024546063,0.016771829,2.55E-05,1.89E-05,2.84E-05,0.000105032,2.14E-05,6.68E-05,8.64E-05,6.04E-05
78,0.033422601,0.024217904,0.033986074,0.041704812,0.025001428,0.027189425,0.024546063,0.016771829,2.55E-05,1.89E-05,2.84E-05,0.000105032,2.14E-05,6.68E-05,8.64E-05,6.04E-05
79,0.033422601,0.024217904,0.033986074,0.041704812,0.025001428,0.027189425,0.024546063,0.016771829,2.55E-05,1.89E-05,2.84E-05,0.000105032,2.14E-05,6.68E-05,8.64E-05,6.04E-05
80,0.052986156,0.039391704,0.054116428,0.061054385,0.040582684,0.041507725,0.038842733,0.028169103,3.90E-05,2.72E-05,4.30E-05,0.000164475,3.03E-05,9.85E-05,0.000138135,9.49E-05
81,0.052986156,0.039391704,0.054116428,0.061054385,0.040582684,0.041507725,0.038842733,0.028169103,3.90E-05,2.72E-05,4.30E-05,0.000164475,3.03E-05,9.85E-05,0.000138135,9.49E-05
82,0.052986156,0.039391704,0.054116428,0.061054385,0.040582684,0.041507725,0.038842733,0.028169103,3.90E-05,2.72E-05,4.30E-05,0.000164475,3.03E-05,9.85E-05,0.000138135,9.49E-05
83,0.052986156,0.039391704,0.054116428,0.061054385,0.040582684,0.041507725,0.038842733,0.028169103,3.90E-05,2.72E-05,4.30E-05,0.000164475,3.03E-05,9.85E-05,0.000138135,9.49E-05
84,0.052986156,0.039391704,0.054116428,0.061054385,0.040582684,0.041507725,0.038842733,0.028169103,3.90E-05,2.72E-05,4.30E-05,0.000164475,3.03E-05,9.85E-05,0.000138135,9.49E-05
85,0.07259206,0.054862169,0.074336529,0.078256061,0.056924028,0.054617975,0.053694236,0.04003484,7.32E-05,5.28E-05,8.11E-05,0.00027021,5.96E-05,0.000170549,0.000263961,0.000191689
86,0.080637224,0.061945314,0.081664609,0.085001811,0.063410897,0.060309097,0.059103221,0.044806857,9.03E-05,6.73E-05,9.79E-05,0.000318803,7.40E-05,0.000207943,0.000319821,0.000240109
87,0.090223832,0.069804091,0.09173023,0.092204688,0.071581183,0.066502307,0.066569181,0.050861654,1.13E-04,8.54E-05,1.24E-04,0.000375122,9.43E-05,0.000252843,0.000405724,0.000309386
88,0.100687226,0.078486996,0.102745177,0.099874279,0.080618084,0.073222731,0.074788059,0.057614215,1.41E-04,1.08E-04,1.55E-04,0.000440122,1.20E-04,0.000306528,0.000512093,0.00039699
89,0.112045606,0.088036196,0.114727869,0.108016635,0.090565149,0.080492739,0.08378774,0.065111946,1.74E-04,1.36E-04,1.93E-04,0.000514811,1.51E-04,0.000370418,0.000642755,0.000507039
90,0.124302826,0.09848484,0.12767963,0.116633771,0.101455775,0.088330999,0.09358503,0.073396719,2.15E-04,1.70E-04,2.39E-04,0.000600226,1.89E-04,0.000446072,0.000801857,0.000644278
91,0.137445963,0.109854206,0.141581796,0.125722988,0.113309996,0.096751503,0.104183112,0.082502182,2.62E-04,2.12E-04,2.94E-04,0.000697422,2.36E-04,0.000535173,0.000993754,0.00081405
92,0.151443024,0.122150793,0.156393096,0.135276568,0.126131317,0.105762547,0.115568937,0.092450906,3.19E-04,2.62E-04,3.59E-04,0.000807442,2.93E-04,0.000639502,0.001222831,0.001022216
93,0.16624137,0.135363455,0.172048002,0.145281213,0.139903624,0.115365637,0.127711143,0.103251414,3.84E-04,3.21E-04,4.35E-04,0.00093129,3.60E-04,0.000760907,0.001493282,0.001275006
94,0.18176697,0.149461,0.188456078,0.155717781,0.154588649,0.125554595,0.140558489,0.11489537,4.59E-04,3.92E-04,5.21E-04,0.001069899,4.40E-04,0.000901247,0.001808832,0.001578793
95,0.197924638,0.164390287,0.205502796,0.166561124,0.17012414,0.136314628,0.154039222,0.127354999,5.44E-04,4.74E-04,6.20E-04,0.00122409,5.32E-04,0.001062339,0.002172435,0.001939779
96,0.214599506,0.180075359,0.223051735,0.177779976,0.186423136,0.147621662,0.168061584,0.140581273,6.40E-04,5.68E-04,7.31E-04,0.001394543,6.39E-04,0.001245887,0.002585956,0.002363606
97,0.23165962,0.196417631,0.240948395,0.189337129,0.203374493,0.15944191,0.182515419,0.154502905,7.45E-04,6.76E-04,8.52E-04,0.00158175,7.61E-04,0.001453394,0.003049884,0.002854917
98,0.248959875,0.213297321,0.259025275,0.201189772,0.220845021,0.171731711,0.197275166,0.169026583,8.61E-04,7.97E-04,9.85E-04,0.001785986,8.97E-04,0.001686085,0.003563108,0.003416884
