,X,riskfactor,unit of rr,outcome,midage,logRR.perchange,se.perchange,logRR.perchange.exp,se.perchange.exp,event.age,origlogRR,minage,note
74,2,ssb,8oz/d,DIAB,40,0.28256259,0.081376933,1.330917423,0.108378752,53.8,0.2390169,35,
75,3,ssb,8oz/d,DIAB,50,0.239706572,0.069034565,1.273903668,0.087977473,53.8,0.2390169,45,
76,4,ssb,8oz/d,DIAB,60,0.19862678,0.057203744,1.221721148,0.069899271,53.8,0.2390169,55,
77,5,ssb,8oz/d,DIAB,70,0.164750555,0.047447523,1.180425191,0.056010766,53.8,0.2390169,65,
78,6,ssb,8oz/d,DIAB,87.5,0.094932802,0.023034438,1.099584963,0.025328322,53.8,0.2390169,75,
85,1,ssb,8oz/d,IHD,30,0.280127496,0.053668141,1.325202774,0.071124071,67,0.157003749,25,
86,2,ssb,8oz/d,IHD,40,0.268671678,0.051473382,1.309957224,0.067428408,67,0.157003749,35,
87,3,ssb,8oz/d,IHD,50,0.227922482,0.043666459,1.257184282,0.054891806,67,0.157003749,45,
88,4,ssb,8oz/d,IHD,60,0.188862192,0.036183106,1.208664372,0.043726573,67,0.157003749,55,
89,5,ssb,8oz/d,IHD,70,0.156651339,0.030011999,1.170113932,0.035111168,67,0.157003749,65,
90,6,ssb,8oz/d,IHD,87.5,0.089836216,0.014961295,1.09399509,0.016367583,67,0.157003749,75,
91,1,ssb,8oz/d,BMI_low,30,,,0.1,0.025510204,,,25,bmi (baseline<25)
92,2,ssb,8oz/d,BMI_low,40,,,0.1,0.025510204,,,35,bmi (baseline<25)
93,3,ssb,8oz/d,BMI_low,50,,,0.1,0.025510204,,,45,bmi (baseline<25)
94,4,ssb,8oz/d,BMI_low,60,,,0.1,0.025510204,,,55,bmi (baseline<25)
95,5,ssb,8oz/d,BMI_low,70,,,0.1,0.025510204,,,65,bmi (baseline<25)
96,6,ssb,8oz/d,BMI_low,87.5,,,0.1,0.025510204,,,75,bmi (baseline<25)
97,1,ssb,8oz/d,BMI_high,30,,,0.23,0.045918367,,,25,bmi (baseline>=25)
98,2,ssb,8oz/d,BMI_high,40,,,0.23,0.045918367,,,35,bmi (baseline>=25)
99,3,ssb,8oz/d,BMI_high,50,,,0.23,0.045918367,,,45,bmi (baseline>=25)
100,4,ssb,8oz/d,BMI_high,60,,,0.23,0.045918367,,,55,bmi (baseline>=25)
101,5,ssb,8oz/d,BMI_high,70,,,0.23,0.045918367,,,65,bmi (baseline>=25)
102,6,ssb,8oz/d,BMI_high,87.5,,,0.23,0.045918367,,,75,bmi (baseline>=25)
103,1,veg,100g/d,HSTK,30,-0.274254469,0.111300351,0.764853078,0.085301181,64.2,-0.186329578,25,
104,2,veg,100g/d,HSTK,40,-0.263038829,0.106748722,0.77309675,0.082677423,64.2,-0.186329578,35,
105,3,veg,100g/d,HSTK,50,-0.223143962,0.090558237,0.803281347,0.072828582,64.2,-0.186329578,45,
106,4,veg,100g/d,HSTK,60,-0.184902592,0.07503879,0.833525078,0.062588144,64.2,-0.186329578,55,
107,5,veg,100g/d,HSTK,70,-0.153367058,0.062240763,0.859475552,0.053512583,64.2,-0.186329578,65,
108,6,veg,100g/d,HSTK,87.5,-0.088430182,0.030668484,0.915367017,0.028072919,64.2,-0.186329578,75,
109,1,veg,100g/d,IHD,30,-0.073145434,0.021386787,0.929678027,0.019885542,55.4,-0.049612735,25,
110,2,veg,100g/d,IHD,40,-0.070154151,0.020512174,0.932446052,0.019128929,55.4,-0.049612735,35,
111,3,veg,100g/d,IHD,50,-0.059513933,0.017401111,0.942364929,0.016399779,55.4,-0.049612735,45,
112,4,veg,100g/d,IHD,60,-0.049314713,0.01441899,0.951980372,0.013727568,55.4,-0.049612735,55,
113,5,veg,100g/d,IHD,70,-0.040903983,0.0119598,0.959989881,0.01148189,55.4,-0.049612735,65,
